"filename", "language", "JavaScript React", "SCSS", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\App.css", "CSS", 0, 0, 0, -17, 0, -3, -20
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\X.svg", "XML", 0, 0, 12, 0, 0, 0, 12
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\loading.svg", "XML", 0, 0, 14, 0, 0, 0, 14
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\tick.svg", "XML", 0, 0, 8, 0, 0, 0, 8
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\Layout\layout.component.jsx", "JavaScript React", 2, 0, 0, 0, 0, 2, 4
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\Layout\layout.styles.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\admin-card-user\admin-card-user.component.jsx", "JavaScript React", 0, 0, 0, 0, -6, -5, -11
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\admin-card-user\admin-card-user.styles.scss", "SCSS", 0, 14, 0, 0, 0, 5, 19
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\button\button.component.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\button\button.styles.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\user-section-admin\user-section-admin.component.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\user-section-admin\user-section-admin.styles.scss", "SCSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\categories.contexts.jsx", "JavaScript React", 4, 0, 0, 0, 0, 4, 8
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\loading.content.jsx", "JavaScript React", -21, 0, 0, 0, 0, -8, -29
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\loadingFeedback.context.jsx", "JavaScript React", 45, 0, 0, 0, 0, 9, 54
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\user.context.jsx", "JavaScript React", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\index.css", "CSS", 0, 0, 0, -26, 0, -5, -31
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\index.scss", "SCSS", 0, 26, 0, 0, 0, 7, 33
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\main.jsx", "JavaScript React", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\footer\footer.component.jsx", "JavaScript React", -2, 0, 0, 0, 0, 3, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\footer\footer.styles.scss", "SCSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\loadingFeedback\loadingFeedback.component.jsx", "JavaScript React", 35, 0, 0, 0, 7, 9, 51
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\loadingFeedback\loadingFeedback.styles.scss", "SCSS", 0, 104, 0, 0, 0, 13, 117
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\navigation\navigation.component.jsx", "JavaScript React", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\sign-in-form\sign-in-form.component.jsx", "JavaScript React", 6, 0, 0, 0, 0, 5, 11
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\sign-up-form\sign-up-form.component.jsx", "JavaScript React", 4, 0, 0, 0, 0, 3, 7
"Total", "-", 87, 156, 34, -43, 1, 42, 277